كراسة اختبار كبيرة - مشروع مجمع سكني ومرافق
م	البند	الكمية	الوحدة
1	توريد وتركيب بلاط بورسلين مقاس 60x60	87	م²
2	توريد وتركيب أرضيات رخام مقاس 60x60	124	م²
3	توريد وتركيب نعلات خشبية مقاس 60x60	131	م ط
4	أعمال الدهان الداخلي مقاس 60x60	198	م²
5	توريد وتركيب أسقف جبسية مقاس 60x60	235	م²
6	توريد وتركيب قواطع جيبسوم بورد مقاس 60x60	272	م²
7	توريد وتركيب قواطع زجاجية مقاس 60x60	309	م²
8	توريد كيابل نحاس مقاس 60x60	316	م ط
9	توريد وتركيب وحدات إضاءة ليد مقاس 60x60	16	عدد
10	توريد وتركيب لوحة كهرباء رئيسية مقاس 60x60	53	عدد
11	توريد وتركيب مخارج كهرباء مقاس 60x60	90	عدد
12	توريد وتركيب كواشف دخان مقاس 60x60	127	عدد
13	توريد وتركيب مجاري هواء مرنة مقاس 60x60	501	م ط
14	توريد وتركيب مضخة مياه مقاس 60x60	42	عدد
15	توريد وتركيب خلاطات مياه مقاس 60x60	79	عدد
16	توريد وتركيب مواسير PPR مقاس 60x60	32	م ط
17	توريد حديد تسليح مقاس 60x60	6	طن
18	توريد خرسانة جاهزة مقاس 60x60	81	م³
19	توريد أسمنت مقاوم مقاس 60x60	753	كيس
20	توريد وتركيب طوب أسمنتي مقاس 60x60	105	عدد
21	توريد وتركيب عزل مائي مقاس 60x60	827	م²
22	توريد وتركيب عزل حراري مقاس 60x60	864	م²
23	توريد وتركيب أبواب خشبية مقاس 60x60	57	عدد
24	توريد وتركيب نوافذ ألمنيوم مقاس 60x60	938	م²
25	توريد وتركيب درابزين ستانلس مقاس 60x60	365	م ط
26	توريد وتركيب مصاعد كهربائية مقاس 60x60	9	عدد
27	توريد وتركيب مكيفات سبليت مقاس 60x60	16	جهاز
28	توريد وتركيب مراوح شفط مقاس 60x60	83	عدد
29	توريد وتركيب طفايات حريق مقاس 60x60	120	عدد
30	توريد وتركيب شبكة إنذار حريق مقاس 60x60	157	عدد
31	توريد وتركيب كاميرات مراقبة مقاس 60x60	35	عدد
32	توريد وتركيب شبكة بيانات مقاس 60x60	44	م ط
33	توريد خوذ سلامة مقاس 60x60	109	عدد
34	توريد أحذية سلامة مقاس 60x60	128	زوج
35	توريد قفازات عمل مقاس 60x60	165	زوج
36	توريد سقالات معدنية مقاس 60x60	7	طن
37	توريد وتركيب مولد كهربائي مقاس 60x60	2	جهاز
38	توريد لوحات توزيع فرعية مقاس 60x60	135	عدد
39	توريد وتركيب أحواض زراعة مقاس 60x60	13	عدد
40	توريد شجيرات ظل مقاس 60x60	50	عدد
41	توريد وتركيب بلاط بورسلين مقاس 30x30	417	م²
42	توريد وتركيب أرضيات رخام مقاس 30x30	454	م²
43	توريد وتركيب نعلات خشبية مقاس 30x30	451	م ط
44	أعمال الدهان الداخلي مقاس 30x30	528	م²
45	توريد وتركيب أسقف جبسية مقاس 30x30	565	م²
46	توريد وتركيب قواطع جيبسوم بورد مقاس 30x30	602	م²
